"","x"
"1","NKRF"
"2","TFAM"
"3","AHRR"
"4","ARID1B"
"5","BHLHE40"
"6","E2F5"
"7","EBF1"
"8","HOXA10"
"9","HOXB13"
"10","IRF4"
"11","MNT"
"12","NFKB2"
"13","NR3C1"
"14","PAX5"
"15","PITX3"
"16","TBX21"
"17","TEAD4"
"18","TGFB1I1"
"19","ZBTB32"
"20","DOT1L"
"21","HDAC1"
"22","NEUROG1"
"23","SP1"
"24","SRSF2"
"25","STAT1"
"26","ARID4A"
"27","ELF2"
"28","ETS1"
"29","ETV3"
"30","EWSR1"
"31","HDAC3"
"32","HHEX"
"33","HOXB9"
"34","ING4"
"35","NANOG"
"36","NR2E1"
"37","SIN3A"
"38","SIX1"
"39","BHLHE41"
"40","ERF"
"41","MAFA"
"42","ZNF804A"
"43","FOXC1"
"44","FOXF2"
"45","MBD1"
"46","MYOD1"
"47","RUNX3"
"48","STOX1"
"49","ZGPAT"
"50","FHL2"
"51","FOXH1"
"52","FOXO4"
"53","HEY2"
"54","KLF1"
"55","KLF3"
"56","MAX"
"57","MEIS2"
"58","MXI1"
"59","NFIA"
"60","NUPR1"
"61","RELB"
"62","SALL3"
"63","SMAD2"
"64","TBX1"
"65","TP53"
"66","CREB5"
"67","HOPX"
"68","HOXB7"
"69","KMT2B"
"70","MYBL2"
"71","NAB2"
"72","NR4A1"
"73","SMARCA1"
"74","ZHX2"
"75","FOXJ1"
"76","HIC1"
"77","KCNIP3"
"78","SOX17"
"79","ETV2"
"80","FGF2"
"81","HDGF"
"82","HSF4"
"83","HTATIP2"
"84","KLF15"
"85","KLF6"
"86","MLXIP"
"87","TBXT"
"88","ZNF202"
"89","ZNF354C"
"90","CEBPZ"
"91","ELF1"
"92","KLF9"
"93","MITF"
"94","NEUROD1"
"95","NFE2"
"96","NFE2L3"
"97","OTX2"
"98","SOX5"
"99","ZNF91"
"100","ARID3A"
"101","E2F1"
"102","E2F2"
"103","E2F3"
"104","PLAGL1"
"105","TFDP1"
"106","TFDP2"
